experiment_date,group,users,conversions,conversion_rate
2017-01-02,control,2859,359.0,0.1256
2017-01-02,treatment,2853,342.0,0.1199
2017-01-03,control,6590,750.0,0.1138
2017-01-03,treatment,6618,753.0,0.1138
2017-01-04,control,6578,802.0,0.1219
2017-01-04,treatment,6541,763.0,0.1166
2017-01-05,control,6427,792.0,0.1232
2017-01-05,treatment,6505,748.0,0.115
2017-01-06,control,6606,762.0,0.1153
2017-01-06,treatment,6747,833.0,0.1235
2017-01-07,control,6604,799.0,0.121
2017-01-07,treatment,6609,768.0,0.1162
2017-01-08,control,6687,795.0,0.1189
2017-01-08,treatment,6700,809.0,0.1207
2017-01-09,control,6628,793.0,0.1196
2017-01-09,treatment,6615,781.0,0.1181
2017-01-10,control,6654,751.0,0.1129
2017-01-10,treatment,6696,846.0,0.1263
2017-01-11,control,6688,795.0,0.1189
2017-01-11,treatment,6673,768.0,0.1151
2017-01-12,control,6522,796.0,0.122
2017-01-12,treatment,6637,812.0,0.1223
2017-01-13,control,6552,766.0,0.1169
2017-01-13,treatment,6508,724.0,0.1112
2017-01-14,control,6548,830.0,0.1268
2017-01-14,treatment,6599,787.0,0.1193
2017-01-15,control,6714,809.0,0.1205
2017-01-15,treatment,6549,743.0,0.1135
2017-01-16,control,6591,803.0,0.1218
2017-01-16,treatment,6545,780.0,0.1192
2017-01-17,control,6617,813.0,0.1229
2017-01-17,treatment,6538,832.0,0.1273
2017-01-18,control,6482,809.0,0.1248
2017-01-18,treatment,6603,824.0,0.1248
2017-01-19,control,6578,789.0,0.1199
2017-01-19,treatment,6552,768.0,0.1172
2017-01-20,control,6534,753.0,0.1152
2017-01-20,treatment,6679,786.0,0.1177
2017-01-21,control,6749,850.0,0.1259
2017-01-21,treatment,6560,759.0,0.1157
2017-01-22,control,6596,786.0,0.1192
2017-01-22,treatment,6669,787.0,0.118
2017-01-23,control,6716,844.0,0.1257
2017-01-23,treatment,6633,803.0,0.1211
2017-01-24,control,3754,443.0,0.118
2017-01-24,treatment,3681,448.0,0.1217
